,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   16:02,,,
Цветной прокат,,,,,,,,
АЛЮМИНИЕВЫЙ КРУГ,,,,,,,,
,диаметр,Ед.изм,Цена,,А5М,1 ; 1.2; 1.5,т,532000
6082Т6 (АД35),25 ,т,380000,,А5М,2 ,т,527000
АД1,10 ; 12; 16; 20,т,559000,,А5М,2 ; 2.5,т,532000
,22 ; 25; 30; 35,,,,А5М,4 ; 5,т,530000
,40 ; 50; 55; 70,,,,А5Н,0.5 ; 0.8,т,536000
АК4,100 ; 200; 250,т,454000,,А5Н,1 ,т,527000
АК4-1,200 ,т,454000,,А5Н,1 ,т,532000
АК4-1 РТ-Техприемка,220 ,т,454000,,А5Н,1.5 ,т,527000
АК4-1Т1,45 ,т,474000,,А5Н,1.5 ; 2,т,532000
АК4-1Т1 РТ-Техприемка,30 ,т,474000,,А5Н,5 ,т,530000
,,,,,А5Н,6 ,т,406000
АК6,12 ,т,728000,,АД1М,0.5 ; 0.8,т,536000
АК6,180 ; 190,т,473000,,АД1М,1 ; 1.2; 1.5; 2,т,532000
АК6 РТ-Техприемка,35 ; 70; 85,т,499000,,,2.5 ,,
АК6 РТ-Техприемка,180 ; 190; 240,т,482000,,АД1М,5 ,т,530000
АК6 Т1,70 ,т,499000,,АД1М уценка,1 ,т,401000
АК6 Т1 РТ-Техприемка,12 ; 16,т,757000,,АД1Н,0.5 ,т,531000
АК6 Т1 РТ-Техприемка,25 ; 28,т,624000,,АД1Н,0.5 ,т,536000
АК6 Т1 РТ-Техприемка,30 ; 35; 40; 50,т,509000,,АД1Н,0.8 ,т,531000
,70 ; 80,,,,АД1Н,0.8 ,т,536000
АМГ2,45 ,т,485000,,АД1Н,1 ; 1.5,т,527000
АМГ2,170 ,т,454000,,АД1Н,1.5 ; 2,т,532000
АМГ2 РТ-Техприемка,170 ,т,463000,,АД1Н,2.5 ,т,437000
АМГ3,20 ,т,713000,,АД1Н,5 ,т,530000
АМГ3,25 ,т,636000,,АМГ2М,0.5 ; 0.8,т,531000
АМГ3,30 ; 35; 45; 50,т,575000,,АМГ2М,0.8 ,т,536000
,55 ; 65; 75; 80,,,,АМГ2М,1 ,т,527000
,90 ,,,,АМГ2М,1 ,т,532000
АМГ5,8 ; 14,т,947000,,АМГ2М,1 ,шт,236
АМГ5,16 ,т,750000,,АМГ2М,1 ,шт,470
АМГ5,20 ; 22; 28; 30,т,643000,,АМГ2М,1 ,шт,943
АМГ5,35 ; 40; 45; 55,т,516000,,АМГ2М,1.2 ,т,532000
,60 ; 75; 80; 85,,,,АМГ2М,1.2 ,шт,1152
,95 ,,,,АМГ2М,1.2 ,шт,289
АМГ5,120 ,т,495000,,АМГ2М,1.2 ,шт,576
АМГ5 М,65 ,т,516000,,АМГ2М,1.5 ,т,475000
АМГ6,8 ; 14,т,947000,,АМГ2М,1.5 ,т,527000
АМГ6,15 ; 16; 18,т,750000,,АМГ2М,1.5 ,т,532000
АМГ6,20 ; 25; 30,т,643000,,АМГ2М,2 ,т,498000
АМГ6,32 ; 35; 40; 45,т,516000,,АМГ2М,2 ; 2.5,т,532000
,50 ; 55; 65; 75,,,,АМГ2М,3 ,т,527000
,80 ; 90; 95; 100,,,,АМГ2М,3 ,т,532000
АМГ6,105 ; 110; 115; 120,т,495000,,АМГ2М,4 ; 5; 6; 6; 8,т,530000
,130 ; 140; 150; 160,,,,АМГ2М ламинирование верхней поверхности листа пленкой,1 ,т,482000
,180 ; 190; 200; 210,,,,,,,
,220 ; 230; 240; 250,,,,,,,
АМГ6,260 ; 270; 280; 300,т,727000,,АМГ2М уценка,0.5 ; 4,т,300000
АМГ6,310 ; 320; 330; 340,т,647000,,АМГ2Н,0.5 ,т,536000
АМГ6,350 ,т,727000,,АМГ2Н,2 ,т,532000
АМГ6,400 ,т,820000,,АМГ2Н2,1.5 ; 2; 3,т,542000
АМГ6 М,35 ,т,516000,,АМГ2Н2Р,1.2 ,т,612000
АМЦ,12 ; 18; 20; 25,т,588000,,АМГ2Н2Р,1.2 ,шт,1015
,30 ; 40; 45; 55,,,,АМГ2Н2Р,1.2 ,шт,1769
,60 ; 65; 70; 80,,,,АМГ2Н2Р,1.2 ,шт,491
,90 ; 100,,,,АМГ2Н2Р,1.2 ,шт,982
АЛЮМИНИЕВЫЙ ЛИСТ,,,,,АМГ2Н2Р,1.5 ,т,592000
Марка,толщина,Ед.изм,Цена,,АМГ2Н2Р,1.5 ,т,612000
1561БМ,3 ,т,727000,,АМГ2Н2Р,1.5 ,шт,1200
5083 H111,2 ; 3,т,555000,,АМГ2Н2Р,1.5 ,шт,1314
5083 H111,4 ; 6,т,558000,,АМГ2Н2Р,1.5 ,шт,2050
5083 H111 уценка,2 ; 3,т,350000,,АМГ2Н2Р,1.5 ,шт,2150
5754 H111 (АМг3м),4 ,т,528000,,АМГ2Н2Р,1.5 ,шт,657
